SampleI D,Long.,Lat.,pH,Cond. (μS),TDS(mg/ l),DO(mg/l),Ca(mg/ l),Mg(mg/l),Na(m g/l),K(mg/l),Cl(mg/l),HCO3(mg/l),SO4(mg/l),PO4(mg/l),SiO2,18OD,D,d-ex ,WQI
post16,76.68,11.41,6.65,696,556.8,1.5,53,6.1,39.3,4.8,78.1,188,0.22,0.58,18.84,-4.45,-29.00,6.6,301.35
post16,76.69,11.4,6.78,697,557.6,1.5,65,8.85,39.3,4.3,78.1,285.6,0.21,0.56,18.14,-4.27,-28.96,5.23,202.56
post16,76.69,11.4,6.81,698,558.4,1.5,42,5.53,49.5,4.9,85.2,185.6,0.19,0.61,19.43,-4.59,-28.88,7.84,160.6
post16,76.69,11.4,6.68,699,559.2,2,52,8.81,54.4,4.9,85.2,285.6,0.19,0.88,17.81,-4.23,-27.37,6.45,138.65
post16,76.69,11.4,6.64,700,560,1.5,69,12.77,59.2,4.9,99.4,212.4,0.19,0.72,17.48,-4.39,-28.98,6.18,39.28
post16,76.69,11.4,6.66,701,560.8,1.5,70,7.96,59.6,4.9,78.1,312.4,0.28,0.8,18.22,-3.90,-26.62,4.56,101.75
post16,76.69,11.41,6.7,702,561.6,2,55,8,49.5,4.9,78.1,266,0.22,0.65,18.56,-4.55,-28.79,7.6,47.63
post16,76.7,11.4,6.68,706,564.8,1.5,50,8.53,39.3,4.8,85.2,166,0.19,0.77,18.96,-4.22,-33.30,0.44,195.75
post16,76.7,11.4,6.63,708,566.4,1.5,51,6.42,49.1,4.8,92.3,117.2,0.19,0.73,28.09,-4.39,-29.29,5.86,113.72
post16,76.7,11.4,6.83,711,568.8,1.5,67,7,37.5,4.8,85.2,188,0.32,0.42,18.04,-4.41,-27.64,7.6,120.26
post16,76.7,11.4,6.6,713,570.4,1.5,48,5.81,49.2,4.8,85.2,114.8,0.28,1.42,18.25,-4.36,-31.00,3.91,134.36
post16,76.7,11.4,6.76,715,572,1.5,42,6.1,49.2,4.9,92.3,190.4,0.22,0.95,18.08,-3.59,-27.05,1.63,154.02
post16,76.69,11.41,6.66,703,562.4,2.5,42,5.53,49.4,4.8,85.2,169.2,0.2,0.76,25.49,-4.29,-28.04,6.28,162.23
post16,76.68,11.41,6.78,707,565.6,3,48,9.74,48.4,4.8,85.2,185.6,0.21,0.56,18.6,-4.43,-30.71,4.76,153.42
post16,76.68,11.4,6.77,709,567.2,2.5,50,1.03,49.1,4.8,78.1,227.2,0.34,0.54,19.81,-4.54,-27.87,8.45,157.36
post16,,,6.75,710,568,3.5,47,7.92,39,4.8,85.2,161.2,0.24,0.79,18.89,-4.30,-27.78,6.65,122.64
